0L7	35.76826436	115.329622
0O2	35.28627778	116.0813611
1L3	35.44455556	114.9093611
1L4	35.30554944	114.8827528
3L2	35.79294444	115.6264167
F70	33.57417908	117.1284732
KAJO	33.89765408	117.6024398
KAPV	34.57533333	117.1861944
KAVX	33.40499722	118.4157694
KBFL	35.43386111	119.0576667
KBLH	33.61916667	114.7168889
KBNG	33.92255556	116.8509722
KBUR	34.20069444	118.3586667
KBVU	35.94730806	114.8610842
KBWC	32.9929375	115.5172633
KCCB	34.11161111	117.6873889
KCLR	33.13133333	115.5213889
KCMA	34.21375	119.0943611
KCNO	33.97477931	117.6364828
KCPM	33.88991667	118.2438056
KCRQ	33.12825	117.2800833
KCXL	32.66744444	115.5175833
KDAG	34.85372222	116.7866944
KDLO	35.74555556	119.2365
KEED	34.76634683	114.6232799
KEMT	34.08600889	118.0348453
KFUL	33.87201417	117.9797842
KHHR	33.92286111	118.3350833
KHMT	33.73402778	117.0223056
KHND	35.97286111	115.1344444
KIPL	32.83422222	115.57875
KIYK	35.65874128	117.8295325
KIZA	34.60681528	120.07555
KLAS	36.08004389	115.1522347
KLAX	33.94249639	118.4080486
KLGB	33.81792972	118.1518906
KLPC	34.66561944	120.4675028
KMHV	35.05894444	118.1506111
KMIT	35.50747539	119.1921343
KMYF	32.81572222	117.1395556
KOKB	33.21797639	117.3515075
KONT	34.056	117.6011944
KOXR	34.20080694	119.2072264
KPOC	34.09166667	117.7817778
KPRB	35.67288889	120.6270833
KPSP	33.82966667	116.5066944
KPTV	36.02958333	119.0627222
KRAL	33.95188889	117.4451111
KREI	34.08525	117.1463889
KRIR	33.9887875	117.4099097
KRIV	33.88194333	117.2590169
KRNM	33.03916667	116.91525
KSAN	32.73355556	117.1896667
KSAS	33.24119444	115.9525833
KSBA	34.42619136	119.8414927
KSBD	34.09536111	117.2348889
KSBP	35.23727778	120.6426111
KSDM	32.57227778	116.9801667
KSEE	32.82622222	116.9724444
KSMO	34.01582194	118.4513061
KSMX	34.89994444	120.4580833
KSNA	33.67566667	117.8682222
KSZP	34.34701761	119.0616166
KTNP	34.13158333	115.9458056
KTOA	33.80338286	118.3396076
KTRM	33.62667056	116.1596544
KTSP	35.13499444	118.4393
KUDD	33.7484375	116.2748133
KVCV	34.59747222	117.383
KVNY	34.20980556	118.4899722
KWHP	34.25932528	118.4134331
KWJF	34.74105556	118.2186389
L00	34.8705	118.2054167
L04	32.84494444	115.2685
L05	35.72822222	118.4197222
L08	33.25902778	116.3209722
L17	35.14165808	119.4378403
L18	33.35416667	117.2508333
L19	35.61986111	119.3537222
L22	34.12983333	116.4068889
L26	34.37694444	117.3160556
L35	34.26377778	116.8560278
L45	35.32486111	118.9960278
L52	35.10152917	120.6223153
L54	32.95569444	116.2947222
L61	35.96861111	116.2692778
L62	35.35344444	119.4797222
L65	33.76463889	117.219
L70	34.50256944	118.3146444
L71	35.15125	118.0166667
L72	35.81266667	117.3269167
L73	35.59638889	119.1282778
L77	33.66481111	115.7104139
L78	32.61588056	116.1655389
L88	34.93994444	119.6855833
L90	33.14777778	116.1315833
L94	35.10107778	118.4231392
